Value,Points,Units,Set,Type,ToDraw,,,,S1,S2,S3,HoldPoints,Modifier
1,,1,x,^,,,Hold to score,,x,,,x,+20
2,,2,x,^,,,Hold to score,,x,,,x,-20
3,,3,x,^,,,Hold to score,,x,,,x,+20
4,,4,x,^,,,Hold to score,,x,,,x,-20
5,,5,A,^,2,,Hold to score,,A,B,C,ABC,+15
6,,6,B,^,2,,Hold to score,,A,B,D,ABD,-15
7,,7,C,^,2,,Hold to score,,A,B,E,ABE,+15
8,,8,D,^,2,,Hold to score,,A,C,D,ACD,-15
9,,9,E,>60,2,,Hold to score,,A,C,E,ACE,+15
10,1,0,,^v,,,Hold to score,,A,D,E,ADE,-15
11,1,1,,^^,,,Hold to score,,B,C,D,BCD,+15
12,1,2,,^v,1,,Hold to score,,B,C,E,BCE,-15
13,1,3,,^^,1,,Hold to score,,B,D,E,BDE,+15
14,1,4,,^,3,,Hold to score,,C,D,E,CDE,-15
15,1,5,B,^,1,,Hold to score,,A,B,,AB,+10
16,1,6,C,^,1,,Place on any covered card,,A,C,,AC,-10
17,1,7,D,^,2,,Place on any covered card,,A,D,,AD,+10
18,1,8,E,^,2,,Place on any covered card,,A,E,,AE,-10
19,1,9,A,>60,2,,Place on any covered card,,B,C,,BC,+10
20,2,0,,^v,,,Place on any covered card,,B,D,,BD,-10
21,2,1,,^^,,,Place on any covered card,,B,E,,BE,+10
22,2,2,,^v,1,,Place on any covered card,,C,D,,CD,-10
23,2,3,,^^,1,,Place on any covered card,,C,E,,CE,+10
24,2,4,,^,3,,Place on any covered card,,D,E,,DE,-10
25,2,5,C,^,1,,Place on any covered card,,,,,2 POINTS,+10
26,2,6,D,^,1,,Place on any covered card,,,,,2 POINTS,-10
27,2,7,E,^,2,,Place on any covered card,,,,,2 POINTS,+10
28,2,8,A,^,2,,Place on any covered card,,,,,2 POINTS,-10
29,2,9,B,>60,2,,Place on any covered card,,,,,2 POINTS,+10
30,3,0,,^v,,,Place on any covered card,,,,,2 POINTS,-10
31,3,1,,^^,,,Place on any covered card,,,,,2 POINTS,+10
32,3,2,,^v,1,,Place on any covered card,,,,,2 POINTS,-10
33,3,3,,^^,1,,Place on any covered card,,,,,2 POINTS,+10
34,3,4,,^,3,,Place on any covered card,,,,,2 POINTS,-10
35,3,5,D,^,1,,Place on any covered card,,,,,2 POINTS,+15
36,3,6,E,^,1,,Place on any covered card,,,,,3 POINTS,-15
37,3,7,A,^,2,,Place on any covered card,,,,,3 POINTS,+15
38,3,8,B,^,2,,Place on any covered card,,,,,3 POINTS,-15
39,3,9,C,>60,2,,Place on any covered card,,,,,4 POINTS,+25
40,4,0,,^v,,,Place on any covered card,,,,,4 POINTS,-25
